Grade Level,List number,List description,Pattern Words,word type
1st,1,,bit,pattern_word
1st,1,,hit,pattern_word
1st,1,,sit,pattern_word
1st,1,,net,pattern_word
1st,1,,set,pattern_word
1st,1,,wet,pattern_word
1st,1,,here,memory_word
1st,1,,fin,memory_word
1st,1,,sin,memory_word
1st,1,,win,memory_word
1st,2,,did,pattern_word
1st,2,,hid,pattern_word
1st,2,,kid,pattern_word
1st,2,,den,pattern_word
1st,2,,hen,pattern_word
1st,2,,pen,pattern_word
1st,2,,the,memory_word
1st,2,,cap,memory_word
1st,2,,nap,memory_word
1st,2,,tap,memory_word
1st,3,,and,pattern_word
1st,3,,band,pattern_word
1st,3,,sand,pattern_word
1st,3,,fill,pattern_word
1st,3,,hill,pattern_word
1st,3,,will,pattern_word
1st,3,,dot,pattern_word
1st,3,,not,pattern_word
1st,3,,pot,pattern_word
1st,3,,they,pattern_word
1st,4,,can,pattern_word
1st,4,,pan,pattern_word
1st,4,,tan,pattern_word
1st,4,,locks,pattern_word
1st,4,,rocks,pattern_word
1st,4,,socks,pattern_word
1st,4,,one,memory_word
1st,4,,lock,memory_word
1st,4,,rock,memory_word
1st,4,,sock,memory_word
1st,5,,hen,review_word
1st,5,,hill,review_word
1st,5,,nap,review_word
1st,5,,net,review_word
1st,5,,not,review_word
1st,5,,sand,review_word
1st,5,,sin,review_word
1st,5,,sit,review_word
1st,5,,sock,review_word
1st,5,,wet,review_word
1st,6,,dust,pattern_word
1st,6,,just,pattern_word
1st,6,,must,pattern_word
1st,6,,cab,pattern_word
1st,6,,crab,pattern_word
1st,6,,grab,pattern_word
1st,6,,to,memory_word
1st,6,,ax,memory_word
1st,6,,tax,memory_word
1st,6,,wax,memory_word
1st,7,,map,pattern_word
1st,7,,clap,pattern_word
1st,7,,flap,pattern_word
1st,7,,class,pattern_word
1st,7,,glass,pattern_word
1st,7,,grass,pattern_word
1st,7,,of,memory_word
1st,7,,hum,memory_word
1st,7,,sum,memory_word
1st,7,,drum,memory_word
1st,8,,men,pattern_word
1st,8,,then,pattern_word
1st,8,,when,pattern_word
1st,8,,bath,pattern_word
1st,8,,math,pattern_word
1st,8,,path,pattern_word
1st,8,,many,memory_word
1st,8,,hat,memory_word
1st,8,,sat,memory_word
1st,8,,chat,memory_word
1st,9,,cash,pattern_word
1st,9,,rash,pattern_word
1st,9,,smash,pattern_word
1st,9,,bump,pattern_word
1st,9,,hump,pattern_word
1st,9,,jump,pattern_word
1st,9,,king,pattern_word
1st,9,,bring,pattern_word
1st,9,,swing,pattern_word
1st,9,,are,memory_word
1st,10,,ax,review_word
1st,10,,bath,review_word
1st,10,,bring,review_word
1st,10,,chat,review_word
1st,10,,crab,review_word
1st,10,,drum,review_word
1st,10,,glass,review_word
1st,10,,must,review_word
1st,10,,smash,review_word
1st,10,,when,review_word
1st,11,,bike,pattern_word
1st,11,,hike,pattern_word
1st,11,,like,pattern_word
1st,11,,brick,pattern_word
1st,11,,click,pattern_word
1st,11,,quick,pattern_word
1st,11,,chip,pattern_word
1st,11,,grip,pattern_word
1st,11,,trip,pattern_word
1st,11,,you,memory_word
1st,12,,gave,pattern_word
1st,12,,save,pattern_word
1st,12,,brave,pattern_word
1st,12,,ask,pattern_word
1st,12,,mask,pattern_word
1st,12,,task,pattern_word
1st,12,,was,memory_word
1st,12,,hung,memory_word
1st,12,,sung,memory_word
1st,12,,stung,memory_word
1st,13,,fire,pattern_word
1st,13,,tire,pattern_word
1st,13,,wire,pattern_word
1st,13,,feed,pattern_word
1st,13,,seed,pattern_word
1st,13,,weed,pattern_word
1st,13,,bite,pattern_word
1st,13,,kite,pattern_word
1st,13,,white,pattern_word
1st,13,,your,memory_word
1st,14,,light,pattern_word
1st,14,,flight,pattern_word
1st,14,,fright,pattern_word
1st,14,,hopped,pattern_word
1st,14,,shopped,pattern_word
1st,14,,stopped,pattern_word
1st,14,,where,memory_word
1st,14,,hop,memory_word
1st,14,,shop,memory_word
1st,14,,stop,memory_word
1st,15,,brave,review_word
1st,15,,feed,review_word
1st,15,,kite,review_word
1st,15,,light,review_word
1st,15,,like,review_word
1st,15,,mask,review_word
1st,15,,quick,review_word
1st,15,,shop,review_word
1st,15,,stung,review_word
1st,15,,wire,review_word
1st,16,,cent,pattern_word
1st,16,,went,pattern_word
1st,16,,spent,pattern_word
1st,16,,bank,pattern_word
1st,16,,drank,pattern_word
1st,16,,thank,pattern_word
1st,16,,have,memory_word
1st,16,,team,memory_word
1st,16,,dream,memory_word
1st,16,,stream,memory_word
1st,17,,rain,pattern_word
1st,17,,plain,pattern_word
1st,17,,train,pattern_word
1st,17,,face,pattern_word
1st,17,,race,pattern_word
1st,17,,place,pattern_word
1st,17,,love,memory_word
1st,17,,coat,memory_word
1st,17,,goat,memory_word
1st,17,,float,memory_word
1st,18,,ark,pattern_word
1st,18,,bark,pattern_word
1st,18,,mark,pattern_word
1st,18,,fine,pattern_word
1st,18,,mine,pattern_word
1st,18,,nine,pattern_word
1st,18,,there,memory_word
1st,18,,horn,memory_word
1st,18,,torn,memory_word
1st,18,,thorn,memory_word
1st,19,,dirt,pattern_word
1st,19,,shirt,pattern_word
1st,19,,skirt,pattern_word
1st,19,,may,pattern_word
1st,19,,play,pattern_word
1st,19,,pray,pattern_word
1st,19,,some,memory_word
1st,19,,more,memory_word
1st,19,,sore,memory_word
1st,19,,store,memory_word
1st,20,,bark,review_word
1st,20,,cent,review_word
1st,20,,fine,review_word
1st,20,,more,review_word
1st,20,,place,review_word
1st,20,,pray,review_word
1st,20,,skirt,review_word
1st,20,,team,review_word
1st,20,,thank,review_word
1st,20,,train,review_word
1st,21,,book,pattern_word
1st,21,,look,pattern_word
1st,21,,brook,pattern_word
1st,21,,blesses,pattern_word
1st,21,,dresses,pattern_word
1st,21,,presses,pattern_word
1st,21,,said,memory_word
1st,21,,bless,memory_word
1st,21,,dress,memory_word
1st,21,,press,memory_word
1st,22,,bun,pattern_word
1st,22,,fun,pattern_word
1st,22,,sun,pattern_word
1st,22,,grow,pattern_word
1st,22,,snow,pattern_word
1st,22,,throw,pattern_word
1st,22,,what,memory_word
1st,22,,blue,memory_word
1st,22,,glue,memory_word
1st,22,,TRUE,memory_word
1st,23,,room,pattern_word
1st,23,,zoom,pattern_word
1st,23,,bloom,pattern_word
1st,23,,zipping,pattern_word
1st,23,,skipping,pattern_word
1st,23,,slipping,pattern_word
1st,23,,two,memory_word
1st,23,,zip,memory_word
1st,23,,skip,memory_word
1st,23,,slip,memory_word
1st,24,,catch,pattern_word
1st,24,,hatch,pattern_word
1st,24,,patch,pattern_word
1st,24,,shout,pattern_word
1st,24,,trout,pattern_word
1st,24,,sprout,pattern_word
1st,24,,been,memory_word
1st,24,,me,memory_word
1st,24,,we,memory_word
1st,24,,she,memory_word
1st,25,,bless,review_word
1st,25,,blesses,review_word
1st,25,,grow,review_word
1st,25,,me,review_word
1st,25,,patch,review_word
1st,25,,shout,review_word
1st,25,,slipping,review_word
1st,25,,throw,review_word
1st,25,,TRUE,review_word
1st,25,,zoom,review_word
1st,26,,bone,pattern_word
1st,26,,phone,pattern_word
1st,26,,shone,pattern_word
1st,26,,cared,pattern_word
1st,26,,scared,pattern_word
1st,26,,shared,pattern_word
1st,26,,care,pattern_word
1st,26,,scare,pattern_word
1st,26,,share,pattern_word
1st,26,,were,memory_word
1st,27,,fast,pattern_word
1st,27,,faster,pattern_word
1st,27,,fastest,pattern_word
1st,27,,tall,pattern_word
1st,27,,taller,pattern_word
1st,27,,tallest,pattern_word
1st,27,,do,memory_word
1st,27,,slow,memory_word
1st,27,,slower,memory_word
1st,27,,slowest,memory_word
1st,28,,air,pattern_word
1st,28,,hair,pattern_word
1st,28,,pair,pattern_word
1st,28,,hiding,pattern_word
1st,28,,riding,pattern_word
1st,28,,sliding,pattern_word
1st,28,,any,memory_word
1st,28,,hide,memory_word
1st,28,,ride,memory_word
1st,28,,slide,memory_word
1st,29,,find,pattern_word
1st,29,,kind,pattern_word
1st,29,,mind,pattern_word
1st,29,,boil,pattern_word
1st,29,,soil,pattern_word
1st,29,,spoil,pattern_word
1st,29,,come,memory_word
1st,29,,boy,memory_word
1st,29,,joy,memory_word
1st,29,,toy,memory_word
1st,30,,bone,review_word
1st,30,,caed,review_word
1st,30,,hair,review_word
1st,30,,joy,review_word
1st,30,,kind,review_word
1st,30,,ride,review_word
1st,30,,share,review_word
1st,30,,slower,review_word
1st,30,,soil,review_word
1st,30,,taller,review_word